IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.22.64.211,4,4,0.00,200.90,11.59
104.23.107.86,4,4,0.00,200.81,11.02
104.21.32.241,4,4,0.00,200.47,10.03
172.67.123.251,4,4,0.00,196.92,9.16
172.67.163.14,4,4,0.00,200.75,8.56
104.26.8.238,4,4,0.00,157.60,7.59
104.23.98.25,4,4,0.00,196.46,7.57
104.21.117.41,4,4,0.00,201.10,7.11
104.27.18.7,4,4,0.00,201.94,6.63
104.25.150.241,4,4,0.00,203.00,5.87
172.67.194.201,4,4,0.00,199.67,5.63
104.23.116.225,4,4,0.00,189.01,4.65
104.21.82.14,4,4,0.00,200.09,4.39
104.20.210.242,4,4,0.00,200.46,3.97
104.21.235.118,4,4,0.00,196.66,0.00
104.20.218.196,4,4,0.00,198.61,0.00
104.27.11.78,4,4,0.00,201.41,0.00
104.20.142.188,4,4,0.00,201.65,0.00
104.25.252.65,4,4,0.00,202.94,0.00
104.20.64.94,4,4,0.00,199.05,0.00
